,url,label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
70,https://open.spotify.com/track/09Eu4ztUCwqgVqik1eQmCr,0,0.787,0.713,0.0,-5.385,1.0,0.0712,0.0405,0.0,0.125,0.426,101.041,155792.0,4.0
71,https://open.spotify.com/track/09FfQO3PqHO4HIJL511Ksi,0,0.65,0.639,8.0,-5.962,1.0,0.458,0.0942,0.0,0.135,0.563,139.226,150802.0,4.0
72,https://open.spotify.com/track/09G86BPwwrdDoFBBmOo3z1,0,0.368,0.686,2.0,-8.332,1.0,0.0723,0.702,0.779,0.124,0.587,181.017,338973.0,5.0
73,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk,0,0.569,0.777,4.0,-4.041,0.0,0.0834,0.139,0.0,0.132,0.181,164.027,246987.0,4.0
74,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,0,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01,184732.0,4.0
75,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC,0,0.87,0.523,1.0,-8.052,0.0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,204764.0,4.0
76,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP,0,0.729,0.545,0.0,-7.818,1.0,0.0316,0.0174,0.000274,0.369,0.514,103.012,177067.0,4.0
77,https://open.spotify.com/track/09ts3GnICqYEU5PkQCpJK3,0,0.707,0.632,10.0,-7.031,1.0,0.0789,0.103,1.09e-05,0.0841,0.372,97.04,278893.0,4.0
78,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t,0,0.756,0.713,7.0,-6.917,1.0,0.102,0.523,3.35e-06,0.248,0.59,125.064,255278.0,4.0
79,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa,0,0.914,0.732,8.0,-6.1,0.0,0.241,0.0166,0.0,0.107,0.469,94.066,171067.0,4.0
80,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW,0,0.813,0.761,10.0,-5.687,0.0,0.085,0.0529,0.0119,0.337,0.29,124.957,173067.0,4.0
81,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,0,0.834,0.663,8.0,-6.143,1.0,0.133,0.235,0.0,0.372,0.774,121.876,146523.0,4.0
82,https://open.spotify.com/track/0AaV4MJrgmLV3XhoiWXjjb,0,0.395,0.27,1.0,-10.672,1.0,0.0309,0.937,0.00249,0.111,0.314,120.94,304107.0,5.0
83,https://open.spotify.com/track/0AcHbiMs86CCgprvc7E1gs,0,0.776,0.732,8.0,-3.719,1.0,0.081,0.175,0.0,0.364,0.383,144.076,153351.0,4.0
84,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ,0,0.81,0.353,6.0,-9.931,0.0,0.31,0.588,0.0,0.102,0.0727,88.031,208293.0,4.0
85,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli,0,0.561,0.779,10.0,-5.107,0.0,0.0531,0.0862,0.0,0.078,0.235,81.965,256064.0,4.0
86,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec,0,0.852,0.666,11.0,-6.923,0.0,0.184,0.135,0.0,0.798,0.726,91.046,207760.0,4.0
87,https://open.spotify.com/track/0B3FovCVaGKS5w1FTidEUP,0,0.603,0.602,6.0,-7.083,1.0,0.23,0.049,0.0,0.279,0.595,119.703,248472.0,5.0
88,https://open.spotify.com/track/0B48113ZG9UfkWWt7qD9xX,0,0.551,0.869,9.0,-5.043,1.0,0.0606,0.00124,3.03e-05,0.164,0.297,121.91,248782.0,4.0
89,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,0,0.626,0.717,8.0,-5.751,0.0,0.0375,0.017,0.0,0.261,0.56,105.039,247427.0,4.0
